,,,,,,,,Dusun 1,,Dusun 2,,Dusun 3,,Dusun 4,,Dusun 5,,Dusun 5,,Dusun 6,,,,,DST
PROVINSI,Kabupaten/Kota,KECAMATAN,NAMA KELURAHAN/DESA,x,y,DESA,KET,Nama Dusun,Status Dusun,Nama Dusun,Status Dusun,Nama Dusun,Status Dusun,Nama Dusun,Status Dusun,Nama Dusun,Status Dusun,Nama Dusun,Status Dusun,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Alue Bagok,95.978858,4.324621,√,,Melati,Berlistrik PLN,Pelaksana,Berlistrik PLN,Pembina,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Alue Batee,95.97442,4.347111,√,,Singah Mata,Berlistrik PLN,Melati,Berlistrik PLN,Pendalaman,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Alue Sundak,95.973449,4.323042,√,,Ingin Jaya,Berlistrik PLN,Ingin Maju,Berlistrik PLN,Ingin Damai,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Arongan,95.951822,4.298356,√,,Mesjid,Berlistrik PLN,Kuta Madat,Berlistrik PLN,Kuta Padang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Cot Buloh,95.957126,4.323503,√,,Ingin Jaya,Berlistrik PLN,Ingin Damai,Berlistrik PLN,Ingin Maju,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Cot Juru Mudi,95.961879,4.330153,√,,Lembaga,Berlistrik PLN,Ingin Bangun,Berlistrik PLN,Ingin Maju,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Cot Kumbang,95.991861,4.288169,√,,Pasi,Berlistrik PLN,Teungoh,Berlistrik PLN,Cot Kala,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Drien Rampak,95.964722,4.314636,√,,Tgk. Cot Buloh,Berlistrik PLN,Setia,Berlistrik PLN,Bahagia,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Gunong Pulo,95.939058,4.373862,√,,Suka Karya,Berlistrik PLN,Suka Jaya,Berlistrik PLN,Ingin Jaya,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Karang Hampa,95.949321,4.41159,√,,Suka Jadi,Berlistrik PLN,Suka Damai,Berlistrik PLN,Suka Maju,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Keub,95.9831315,4.3301375,√,,Keub,Berlistrik PLN,Kuta Teungoh,Berlistrik PLN,Seurumpoh,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Arongan Lambalek,Kubu,95.95712,4.305374,√,,Bakti,Berlistrik PLN,Bahagia,Berlistrik PLN,Jaya,0,0,0,0,0,0,0,,,,,,
